setTime,star,content,ckip_result,seg_result
1 個月前,5,,,
1 個月前,4,遊戲的器材很不錯,['遊戲(Na) 器材(Na) 不錯(VH)'],遊戲 器材 不錯
1 個月前,4,,,
2 個月前,5,,,
2 個月前,5,,,
2 個月前,5,很美好逛冬天滿地松果,['美好(VH) 冬天(Nd) 松果(Na)'],美好 冬天 松果
2 個月前,5,,,
3 個月前,5,,,
3 個月前,4,,,
3 個月前,5,這裡是我於民國71年當兵時的駐地防區也就是陸軍146師步五營第二連的一個班進駐當時的連部駐守在半小時步行距離的尚義機場坑口連時值闢建為觀光中山林的初始建設期其出入口的道路水泥工程就由我們舖設因此充滿滿的回憶,['這裡(Ncd) 民國(Nd) 71年(Nd) 當兵(VA) 駐地(Nc) 防區(Nc) 陸軍(Na) 146(Neu) 步五營(Nc) 第二(Neu) 進駐(VCL) 當時(Nd) 駐守(VCL) 小時(Na) 步行(VA) 距離(Na) 尚義(Nc) 機場(Nc) 坑口連(Nc) 時值(Na) 闢建(VG) 觀光(VA) 中山林(Ng) 初始(Na) 建設期(Na) 出入口(Nc) 道路(Na) 水泥(Na) 工程(Na) 舖設(VC) 充滿滿(VJ) 回憶(Na)'],這裡 民國 71年 當兵 駐地 防區 陸軍 146 步五營 第二 進駐 當時 駐守 小時 步行 距離 尚義 機場 坑口連 時值 闢建 觀光 中山林 初始 建設期 出入口 道路 水泥 工程 舖設 充滿滿 回憶
3 個月前,5,,,
3 個月前,3,,,
3 個月前,4,庭園造景古意,['庭園(Na) 造景(Na) 古意(Na)'],庭園 造景 古意
3 個月前,5,裡面的視聽影片很不錯,['裡面(Ncd) 影片(Na) 不錯(VH)'],裡面 影片 不錯
4 個月前,5,,,
4 個月前,4,不錯,['不錯(VH)'],不錯
4 個月前,5,就看景觀,['景觀(Na)'],景觀
4 個月前,5,影片可了解金門地區民俗風情,['影片(Na) 了解(VK) 金門(Nc) 地區(Nc) 民俗(Na) 風情(Na)'],影片 了解 金門 地區 民俗 風情
4 個月前,4,森林步道吸收芬多精看到和藹可親的蔣經國總統以及他的紀念館旁邊還有過去參戰的各種戰車大砲及飛機噢值得去看的,['森林(Na) 步道(Na) 吸收(VC) 芬多精(Na) 看到(VE) 和藹可親(VH) 總統(Na) 紀念館(Nc) 旁邊(Ncd) 過去(Nd) 參戰(VA) 戰車(Na) 大砲(Na) 飛機(Na) 值得(VH)'],森林 步道 吸收 芬多精 看到 和藹可親 總統 紀念館 旁邊 過去 參戰 戰車 大砲 飛機 值得
4 個月前,3,走累了可以休息一下的地點,['走累(VA) 休息(VA) 一下(Nd) 地點(Na)'],走累 休息 一下 地點
4 個月前,5,,,
4 個月前,5,很棒的森林健行金門真的是很有故事的地方,['森林(Na) 健行(VA) 金門(Nc) 故事(Na) 地方(Na)'],森林 健行 金門 故事 地方
5 個月前,5,,,
5 個月前,4,園道值得一遊,['園道(Na) 值得(VH)'],園道 值得
5 個月前,1,,,
5 個月前,4,悠閒無壓力騎自行車經驗,['悠閒(VH) 壓力(Na) 自行車(Na) 經驗(Na)'],悠閒 壓力 自行車 經驗
5 個月前,5,,,
5 個月前,5,"很大
可以騎腳踏車的好地方",['腳踏車(Na) 地方(Na)'],腳踏車 地方
6 個月前,5,,,
6 個月前,5,乾淨而偉大的歷史,['乾淨(VH) 偉大(VH) 歷史(Na)'],乾淨 偉大 歷史
6 個月前,5, ,[''],
6 個月前,5,咖啡廳環境清幽,['咖啡廳(Nc) 環境(Na) 清幽(VH)'],咖啡廳 環境 清幽
6 個月前,4,,,
6 個月前,5,園區太大了一定要租腳踏車才能悠閒地在林間享受芬多精舒服啊,['園區(Nc) 腳踏車(Na) 悠閒(VH) 享受(VJ) 芬多精(Na) 舒服(VH)'],園區 腳踏車 悠閒 享受 芬多精 舒服
6 個月前,5,,,
6 個月前,4,,,
7 個月前,5,先來金門看看 麥動金門 影片 有冷氣吹哦 還能了解金門 讓你想做粿の衝動哦,['金門(Nc) 看看(VC) 金門(Nc) 影片(Na) 冷氣(Na) 了解(VK) 金門(Nc) 衝動(VH)'],金門 看看 金門 影片 冷氣 了解 金門 衝動
7 個月前,4,,,
7 個月前,5,,,
7 個月前,5,完整的歷史文物及建物說明建議在開始遊玩之前可以看一下當看到建築或戰地時會更有感覺,['完整(VH) 歷史(Na) 文物(Na) 建物(Na) 說明(Na) 建議(VE) 開始(VL) 遊玩(VA) 之前(Ng) 一下(Nd) 看到(VE) 建築(Na) 戰地(Nc) 感覺(Na)'],完整 歷史 文物 建物 說明 建議 開始 遊玩 之前 一下 看到 建築 戰地 感覺
7 個月前,4,園區很大可以來逛逛踏踏青享受一下森林芬多精,['園區(Nc) 逛逛(VCL) 踏踏青(VC) 享受(VJ) 一下(Nd) 森林(Na) 芬多(Na)'],園區 逛逛 踏踏青 享受 一下 森林 芬多
7 個月前,4,公園綠地空間很寧靜舒服,['公園(Nc) 綠地(Na) 空間(Na) 寧靜(VH) 舒服(VH)'],公園 綠地 空間 寧靜 舒服
7 個月前,5,"中心的投影片兩個都很好看 很用心
咖啡廳的咖啡很讚 值得喝",['中心(Nc) 投影片(Na) 好看(VH) 用心(VH) 咖啡廳(Nc) 咖啡(Na) 值得(VH)'],中心 投影片 好看 用心 咖啡廳 咖啡 值得
7 個月前,5,請記得借單車繞一圈嘿,['記得(VK) 單車(Na)'],記得 單車
7 個月前,4,,,
8 個月前,5,,,
8 個月前,5,,,
8 個月前,4,,,
8 個月前,5,"以古典閩南風格採以紅灰兩色為其建築特色的中山林遊客中心位於金門縣金寧鄉中山紀念林內除展示金門國家公園的源起之外也展示有關金門歷史源流及傳統聚落建築並概略性介紹自然生態及戰役史蹟

中山林遊客中心以金門國家公園整體為展示主題參觀本館得以了解金門的歷史背景文化淵源和獨特的戰役史蹟及豐富的自然景觀資源並了解國家公園為保護這些珍貴的文化資產及自然資源所做的努力",['古典(Na) 閩南(Nc) 風格(Na) 建築(Na) 特色(Na) 中山林(Nc) 遊客(Na) 中心(Nc) 位於(VCL) 金門縣(Nc) 金寧鄉(Nc) 紀念林(Na) 展示(VC) 金門(Nc) 國家(Na) 公園(Nc) 源起(Nv) 之外(Ng) 展示(VC) 有關(VJ) 金門(Nc) 歷史(Na) 源流(VH) 傳統(VH) 聚落(Na) 建築(Na) 概略性(Na) 介紹(VE) 自然(Na) 生態(Na) 戰役(Na) 史蹟(Na) 中山林(Na) 遊客(Na) 中心(Nc) 金門(Nc) 國家(Na) 公園(Nc) 整體(Na) 展示(VC) 主題(Na) 參觀(VC) 了解(VK) 金門(Nc) 歷史(Na) 背景(Na) 文化(Na) 淵源(Na) 獨特(VH) 戰役(Na) 史蹟(Na) 豐富(VHC) 自然(Na) 景觀(Na) 資源(Na) 了解(VK) 國家(Na) 公園(Nc) 保護(VC) 這些(Neqa) 珍貴(VH) 文化(Na) 資產(Na) 自然(Na) 資源(Na) 努力(Nv)'],古典 閩南 風格 建築 特色 中山林 遊客 中心 位於 金門縣 金寧鄉 紀念林 展示 金門 國家 公園 源起 之外 展示 有關 金門 歷史 源流 傳統 聚落 建築 概略性 介紹 自然 生態 戰役 史蹟 中山林 遊客 中心 金門 國家 公園 整體 展示 主題 參觀 了解 金門 歷史 背景 文化 淵源 獨特 戰役 史蹟 豐富 自然 景觀 資源 了解 國家 公園 保護 這些 珍貴 文化 資產 自然 資源 努力
8 個月前,5,"金門很棒的走路散步的超大景點
呼吸大自然芬多精 ",['金門(Nc) 走路(VA) 散步(VA) 景點(Na) 呼吸(VC) 大自然(Nc) 芬多精(Na)'],金門 走路 散步 景點 呼吸 大自然 芬多精
8 個月前,4,,,
8 個月前,5,金門戰地歷史還能看金門微電影讚風景也很美,['金門(Nc) 戰地(Nc) 歷史(Na) 金門(Nc) 微電影(Na) 風景(Na)'],金門 戰地 歷史 金門 微電影 風景
8 個月前,4,把當地的一些特色很詳細的呈獻在遊客中心內解說員專業親切,['當地(Nc) 一些(Neqa) 特色(Na) 詳細(VH) 呈獻(VD) 遊客(Na) 中心(Nc) 解說員(Na) 專業(VH) 親切(VH)'],當地 一些 特色 詳細 呈獻 遊客 中心 解說員 專業 親切
8 個月前,5,棒,[''],
8 個月前,4,,,
9 個月前,5,,,
9 個月前,4,,,
9 個月前,1,歷史古蹟值得一看,['歷史(Na) 古蹟(Na) 值得(VH)'],歷史 古蹟 值得
10 個月前,5,,,
10 個月前,5,讚大自然,['大自然(Nc)'],大自然
11 個月前,5,,,
11 個月前,5,,,
11 個月前,4,"看看一些老軍備
買買紀念品
想健行的話地方也不小",['看看(VC) 一些(Neqa) 軍備(Na) 紀念品(Na) 健行(VA) 地方(Na)'],看看 一些 軍備 紀念品 健行 地方
11 個月前,4,,,
11 個月前,5,,,
11 個月前,5,,,
11 個月前,5,,,
11 個月前,5,,,
1 年前,5,金門吸收芬多精的地方,['金門(Nc) 吸收(VC) 芬多精(Na) 地方(Na)'],金門 吸收 芬多精 地方
1 年前,5,,,
